World Port Index Number,Region Name,Main Port Name,Alternate Port Name,UN/LOCODE,Country Code,World Water Body,IHO S-130 Sea Area,Latitude,Longitude,Tidal Range (m),Entrance Width (m),Channel Depth (m),Anchorage Depth (m),Cargo Pier Depth (m),Maximum Vessel Length (m),Maximum Vessel Beam (m),Maximum Vessel Draft (m),Harbor Size,Harbor Type,Harbor Use,Shelter Afforded,Entrance Restriction - Tide,Entrance Restriction - Heavy Swell,Entrance Restriction - Ice,Entrance Restriction - Other,Overhead Limits,Underkeel Clearance Management System,Good Holding Ground,Turning Area,Port Security,Traffic Separation Scheme,Vessel Traffic Service,Pilotage - Compulsory,Pilotage - Available
45800.0, ,Essaouira,Mogador; Suira,MA ESS,Morocco,North Atlantic Ocean, ,31.5,-9.783333,3.0,0.0,0.0,21.6,0.0,0.0,0.0,0.0,Very Small,Coastal (Natural),Unknown,Fair,Yes,Yes,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes
46241.0,Nigeria -- 46120,Akpo Oil Terminal, ,NG AKP,Nigeria,Gulf of Guinea; North Atlantic Ocean, ,3.133333,6.816667,0.0,0.0,23.2,23.2,7.9,0.0,0.0,0.0,Very Small,Open Roadstead,Unknown,Poor,No,Yes,No,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown
57485.0,Cambodia -- 57478,Kampong Saom,Krong Preah Sihanouk; Sihanoukville,KH KOS,Cambodia,Gulf of Thailand; South China Sea; North Pacific Ocean, ,10.633333,103.5,1.0,0.0,7.9,12.5,12.5,0.0,0.0,0.0,Medium,Coastal (Breakwater),Unknown,Good,No,Yes,No,Yes,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Yes,Yes
46880.0,Mozambique -- 46860,Inhambane,Innamban,MZ INH,Mozambique,Mozambique Channel; Indian Ocean, ,-23.916667,35.4,3.0,0.0,4.9,11.0,6.4,0.0,0.0,0.0,Small,River (Natural),Unknown,Good,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes
47110.0,Kenya -- 47090,Lamu, ,KE LAU,Kenya,Indian Ocean, ,-2.266667,40.9,3.0,0.0,4.9,4.9,4.9,0.0,0.0,0.0,Small,Coastal (Natural),Unknown,Fair,Unknown,Unknown,No,Yes,No,Unknown,Unknown,No,Unknown,Unknown,Unknown,Yes,Unknown
55330.0,New Zealand S Island -- 55260,Akaroa, ,NZ AKA,New Zealand,South Pacific Ocean, ,-43.8,172.966667,2.0,0.0,12.5,4.9,1.8,0.0,0.0,0.0,Very Small,Coastal (Natural),Unknown,Good,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes
37980.0,Portugal -- 37930,Figueira Da Foz, ,PT FDF,Portugal,North Atlantic Ocean, ,40.15,-8.85,8.0,0.0,6.4,14.0,4.9,0.0,0.0,0.0,Very Small,River (Natural),Unknown,Good,No,Yes,No,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes
38030.0,Portugal -- 37930,Faro, ,PT FAO,Portugal,North Atlantic Ocean, ,37.033333,-7.933333,2.0,0.0,4.9,23.2,7.9,0.0,0.0,0.0,Very Small,River (Natural),Unknown,Good,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown
37950.0,Portugal -- 37930,Porto De Leixoes,Leixos; Matosinhos,PT LEI,Portugal,North Atlantic Ocean, ,41.183333,-8.7,4.0,0.0,14.0,20.1,11.0,0.0,0.0,0.0,Very Small,Coastal (Breakwater),Unknown,Good,No,Yes,No,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes
38110.0,Acores -- 38060,Vila Do Porto, ,PT VDP,Portugal,North Atlantic Ocean, ,36.933333,-25.15,2.0,0.0,12.5,23.2,4.9,0.0,0.0,0.0,Very Small,Coastal (Natural),Unknown,Fair,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes
40330.0,Malta -- 40320,Valletta Harbors, ,MT MLA,Malta,Mediterranean Sea; North Atlantic Ocean, ,35.9,14.516667,1.0,0.0,15.5,23.2,12.5,0.0,0.0,0.0,Medium,Coastal (Natural),Unknown,Excellent,No,No,No,Yes,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Yes,Yes
38000.0,Portugal -- 37930,Setubal, ,PT SET,Portugal,North Atlantic Ocean, ,38.516667,-8.9,4.0,0.0,11.0,6.4,14.0,0.0,0.0,0.0,Small,River (Natural),Unknown,Excellent,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes
38005.0,Portugal -- 37930,Sines, ,PT SIE,Portugal,North Atlantic Ocean, ,37.95,-8.866667,4.0,0.0,0.0,23.2,14.0,0.0,0.0,0.0,Medium,Coastal (Breakwater),Unknown,Good,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Yes
46920.0,Mozambique -- 46860,Porto Belo, ,MZ PBE,Mozambique,Mozambique Channel; Indian Ocean, ,-17.7,37.183333,2.0,0.0,3.4,11.0,0.0,0.0,0.0,0.0,Small,Open Roadstead,Unknown,Fair,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown
37940.0,Portugal -- 37930,Viana Do Castelo, ,PT VDC,Portugal,North Atlantic Ocean, ,41.7,-8.833333,2.0,0.0,7.9,20.1,21.6,0.0,0.0,0.0,Small,Coastal (Tide Gates),Unknown,Good,Yes,No,No,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes
46910.0,Mozambique -- 46860,Quelimane,Kiliman,MZ UEL,Mozambique,Mozambique Channel; Indian Ocean, ,-17.883333,36.883333,2.0,0.0,3.4,7.9,4.9,0.0,0.0,0.0,Very Small,River (Natural),Unknown,Good,Unknown,Yes,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown
57425.0,Malaysia -- 57400,Tapis Marine Terminal A, ,MY TAT,Malaysia,South China Sea; North Pacific Ocean, ,5.516667,105.016667,0.0,0.0,23.2,0.0,0.0,0.0,0.0,0.0,Large,Open Roadstead,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes
55180.0,New Zealand N Island -- 54990,Wanganui,Castlecliff,NZ WAG,New Zealand,Tasman Sea; South Pacific Ocean, ,-39.95,175.033333,2.0,0.0,3.4,14.0,4.9,0.0,0.0,0.0,Very Small,River (Natural),Unknown,Good,Yes,Yes,No,Yes,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,No,Yes
59725.0,Philippine Islands -- 57960,Villanueva, ,PH VNV,Philippines,Bohol Sea; Philippine inland seas; North Pacific Ocean, ,8.583333,124.766667,0.0,0.0,0.0,23.2,23.2,0.0,0.0,0.0,Very Small,Open Roadstead,Unknown,Good,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes
59780.0,Philippine Islands -- 57960,Port Holland, ,PH PHD,Philippines,Sulu Sea; North Pacific Ocean, ,6.55,121.866667,3.0,0.0,7.9,11.0,7.9,0.0,0.0,0.0,Very Small,Coastal (Natural),Unknown,Good,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes
48349.0,Saudi Arabia Continued -- 48330,Ras Al Khafji, ,SA RAR,Saudi Arabia,Persian Gulf; Indian Ocean, ,28.433333,48.583333,1.0,0.0,20.1,14.0,11.0,0.0,0.0,0.0,Small,Open Roadstead,Unknown,Fair,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Yes
